EST,Temperatura máximaC,Temperatura mediaC,Temperatura mínimaC,Punto de rocíoC,MeanDew PointC,Min DewpointC,Max Humedad, Mean Humedad, Min Humedad, Max Presión al nivel del marhPa, Mean Presión al nivel del marhPa, Min Presión al nivel del marhPa, Max VisibilidadKm, Mean VisibilidadKm, Min VisibilidadkM, Max Velocidad del vientoKm/h, Mean Velocidad del vientoKm/h, Max Velocidad de ráfagasKm/h,Precipitaciónmm, CloudCover, Eventos,WindDirDegrees
2014-1-1,-2,-4,-7,-14,-15,-16,52,43,34,1029,1027,1023,16,16,16,35,15,47,0.00,3,,296
2014-1-2,-3,-10,-17,-6,-12,-19,88,69,50,1028,1021,1011,6,2,0,52,28,61,9.65,8,Niebla-Nieve,11
2014-1-3,-10,-13,-17,-17,-20,-24,87,66,45,1029,1015,1006,16,8,0,42,27,58,4.83,4,Niebla-Nieve,337
2014-1-4,-3,-9,-17,-8,-17,-24,69,50,31,1033,1029,1025,16,16,16,39,20,50,0.00,2,,228
2014-1-5,3,-1,-4,2,-3,-11,100,74,47,1027,1022,1014,16,14,1,37,13,48,1.02,6,Niebla-Lluvia,148
2014-1-6,13,6,-2,12,6,-11,100,77,53,1012,999,992,16,8,0,40,22,53,8.13,8,Niebla-Lluvia,204
2014-1-7,-2,-7,-13,-12,-21,-25,50,41,31,1024,1013,1000,16,16,16,48,32,66,T,2,,272
2014-1-8,-6,-9,-14,-17,-19,-23,60,48,36,1031,1029,1024,16,16,16,37,20,52,0.00,1,,259
2014-1-9,-1,-4,-7,-12,-15,-17,67,49,31,1038,1035,1030,16,16,16,27,14,37,0.00,2,,256
2014-1-10,3,-2,-8,1,-4,-13,100,80,60,1036,1031,1025,16,7,0,19,8,23,0.51,8,Niebla-Nieve,179
2014-1-11,15,8,1,13,8,1,100,93,86,1024,1009,992,16,5,0,50,19,66,13.72,8,Niebla-Lluvia-Tormenta,176
2014-1-12,12,8,3,10,-1,-5,89,67,45,1015,1003,992,16,16,16,47,26,61,T,5,Lluvia,272
