EST,Temperatura máximaC,Temperatura mediaC,Temperatura mínimaC,Punto de rocíoC,MeanDew PointC,Min DewpointC,Max Humedad, Mean Humedad, Min Humedad, Max Presión al nivel del marhPa, Mean Presión al nivel del marhPa, Min Presión al nivel del marhPa, Max VisibilidadKm, Mean VisibilidadKm, Min VisibilidadkM, Max Velocidad del vientoKm/h, Mean Velocidad del vientoKm/h, Max Velocidad de ráfagasKm/h,Precipitaciónmm, CloudCover, Eventos,WindDirDegrees
2013-1-1,3,-2,-7,-4,-9,-16,64,53,41,1013,1009,1007,16,16,16,45,23,60,0.00,5,,278
2013-1-2,-1,-6,-11,-11,-14,-19,58,53,47,1019,1015,1012,16,16,16,39,22,52,T,2,,297
2013-1-3,-4,-9,-14,-12,-18,-22,62,46,29,1021,1019,1016,16,16,16,35,17,50,0.00,2,,284
2013-1-4,3,-1,-6,-6,-8,-12,69,59,48,1015,1012,1009,16,16,16,42,21,52,0.00,5,,245
2013-1-5,6,2,-3,-5,-8,-9,69,52,34,1025,1019,1011,16,16,16,34,15,42,0.00,4,,284
2013-1-6,6,2,-2,-3,-4,-7,78,64,49,1023,1017,1014,16,16,14,32,13,42,T,5,Nieve,240
2013-1-7,4,1,-2,-3,-4,-7,78,63,48,1029,1024,1015,16,16,16,27,14,40,0.00,1,,266
2013-1-8,8,3,-2,-2,-3,-4,92,69,45,1029,1027,1025,16,16,14,45,21,58,0.00,2,,232
2013-1-9,8,3,-2,1,-2,-4,78,64,49,1029,1023,1016,16,15,11,40,13,53,T,4,Lluvia,235
2013-1-10,8,5,2,-4,-6,-7,52,45,37,1034,1027,1017,16,16,16,52,24,72,0.00,1,,309
2013-1-11,4,2,-1,2,-2,-6,85,71,56,1033,1029,1024,16,15,4,19,7,23,3.05,6,Lluvia,105
2013-1-12,7,5,3,6,4,2,100,93,85,1024,1022,1021,16,8,0,14,4,19,0.25,8,Niebla-Lluvia,160
2013-1-13,11,8,4,9,7,5,100,97,93,1021,1019,1015,16,10,0,26,11,35,T,8,Lluvia,201
2013-1-14,16,11,6,11,6,-4,100,70,40,1025,1017,1011,16,16,13,35,21,42,0.00,7,,257
2013-1-15,6,4,2,-4,-5,-6,56,51,46,1027,1025,1024,16,16,16,21,10,26,T,7,,344
2013-1-16,2,1,-1,0,-2,-6,100,78,56,1024,1016,1010,16,7,1,21,10,26,9.40,8,Niebla-Lluvia-Nieve,341
2013-1-17,6,2,-1,-1,-4,-12,92,70,47,1019,1015,1011,16,16,16,32,19,40,0.00,5,,282
2013-1-18,-1,-4,-7,-14,-19,-22,45,35,25,1031,1026,1018,16,16,14,37,21,52,0.00,3,,301
2013-1-19,9,3,-4,-1,-6,-14,70,52,34,1029,1020,1012,16,16,16,52,28,63,0.00,5,,216
2013-1-20,12,6,-2,0,-5,-13,67,50,32,1013,1007,1000,16,16,16,61,30,74,0.00,3,,252
2013-1-21,-1,-3,-5,-7,-12,-17,88,61,34,1020,1015,1009,16,12,3,39,16,56,0.25,6,Nieve,307
2013-1-22,-4,-7,-9,-7,-13,-20,84,60,35,1019,1011,1008,16,16,8,37,24,50,T,4,Nieve,297
2013-1-23,-8,-11,-13,-18,-23,-24,58,44,30,1021,1020,1018,16,16,16,40,24,52,0.00,1,,287
2013-1-24,-6,-11,-16,-22,-24,-26,49,36,23,1023,1020,1018,16,16,14,40,28,60,0.00,2,,296
2013-1-25,-4,-8,-12,-12,-22,-24,74,48,22,1026,1023,1018,16,14,2,39,20,48,0.25,5,Nieve,291
2013-1-26,-4,-7,-11,-11,-17,-23,80,54,27,1024,1019,1016,16,14,3,34,16,39,0.25,4,Nieve,320
2013-1-27,0,-5,-10,-17,-19,-22,58,41,23,1031,1028,1024,16,16,16,37,22,58,0.00,1,,300
2013-1-28,-1,-3,-6,-2,-9,-18,92,61,29,1031,1023,1016,16,9,0,21,9,24,4.32,7,Lluvia-Nieve,174
2013-1-29,1,-1,-3,-1,-3,-5,92,85,78,1022,1020,1016,16,10,3,16,7,23,0.25,8,Lluvia-Nieve,340
2013-1-30,16,8,1,13,7,0,100,89,78,1021,1010,998,16,10,2,48,23,66,2.79,8,Lluvia,185
2013-1-31,16,8,0,14,3,-11,93,65,36,1002,990,982,16,12,3,77,43,97,7.87,6,Lluvia,249
2013-2-1,1,-2,-5,-10,-14,-17,47,38,28,1019,1009,1003,16,16,16,45,27,53,0.00,2,,275
2013-2-2,-1,-4,-7,-12,-15,-18,50,42,34,1024,1021,1018,16,16,16,35,20,47,0.00,5,,246
2013-2-3,-3,-4,-5,-7,-8,-11,81,66,50,1018,1012,1007,16,7,3,27,13,35,0.76,8,Nieve,330
2013-2-4,-1,-3,-6,-7,-13,-16,81,57,32,1014,1009,1006,16,16,16,45,27,61,0.00,3,,277
2013-2-5,-3,-4,-6,-4,-11,-15,81,60,38,1017,1015,1014,16,12,2,29,11,39,0.76,8,Nieve,207
2013-2-6,4,1,-3,-4,-7,-16,92,62,32,1026,1017,1013,16,11,2,35,16,48,0.25,5,Nieve,299
2013-2-7,-1,-4,-8,-8,-17,-19,58,43,27,1034,1032,1027,16,16,16,29,15,39,0.00,3,,10
2013-2-8,1,-3,-7,-1,-3,-8,100,82,63,1032,1019,1002,16,6,0,74,42,122,31.75,8,Niebla-Nieve,75
2013-2-9,-7,-8,-9,-8,-10,-16,92,76,59,1022,1009,1000,16,5,0,66,34,111,3.56,6,Niebla-Nieve,336
2013-2-10,2,-3,-9,-9,-14,-18,59,43,27,1029,1027,1023,16,16,16,34,14,48,0.00,1,Nieve,276
2013-2-11,7,1,-7,6,0,-11,100,79,58,1028,1013,1003,16,8,1,23,12,29,5.08,8,Niebla-Lluvia-Nieve,194
